Racquet Name,Racquet Type,URL,Head Size:,Length:,Strung Weight:,Balance:,Swingweight:,Stiffness:,Beam Width:,Composition:,Power Level:,Stroke Style:,Swing Speed:,Racquet Colors:,Grip Type:,String Pattern:,String Tension:,Price,Rating
Head Extreme Team L,All Around Racquets,https://www.tennis-warehouse.com/Head_Extreme_Team_L/descpageRCHEAD-HRETL2.html,105 in / 677.42 cm,27in / 68.58cm,9.9oz / 281g,13.77in / 34.98cm / 2 pts HH,309.0,65,23mm / 26mm / 22mm,Graphene 360+/Graphite,Low-Medium,Medium-Full,Medium-Fast,Yellow/Sage Green,Hydrosorb Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",52-62 pounds,229.0,5.0
Head Extreme Team,All Around Racquets,https://www.tennis-warehouse.com/Head_Extreme_Team/descpageRCHEAD-HRETE2.html,100 in / 645.16 cm,27in / 68.58cm,10.2oz / 289g,13.26in / 33.68cm / 2 pts HL,302.0,61,23mm / 26mm / 21mm,Graphene 360+/Graphite,Low-Medium,Medium-Full,Medium-Fast,Yellow/Green,Head Hydrosorb Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",52-62 pounds,239.0,5.0
Wilson Blade 100 v8,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Blade_100_v8/descpageRCWILSON-WB1008.html,100 in / 645.16 cm,27in / 68.58cm,11.2oz / 318g,13in / 33.02cm / 4 pts HL,318.0,60,22.5mm / 22.5mm / 22.5mm,Braided Graphite/Basalt,Low-Medium,Medium-Full,Medium-Fast,Green,Wilson Pro Performance,"16 Mains / 19 CrossesMains skip: 8T,8HOne PieceNo Shared Holes",50-60 pounds,249.0,3.5
Wilson Pro Staff 97UL v14,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_97UL_v14/descpageRCWILSON-9714UL.html,97 in / 625.81 cm,27in / 68.58cm,10oz / 283g,13in / 33.02cm / 4 pts HL,301.0,67,23.5mm / 23.5mm / 23.5mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Rust,Wilson Pro Performance,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-60 pounds,259.0,5.0
Wilson Pro Staff 97L v14,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_97L_v14/descpageRCWILSON-97V14L.html,97 in / 625.81 cm,27in / 68.58cm,10.8oz / 306g,13.12in / 33.32cm / 3 pts HL,313.0,68,23.5mm / 23.5mm / 23.5mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Rust,Wilson Pro Performance,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-60 pounds,259.0,4.0
Wilson Ultra 100L v4,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Ultra_100L_v4/descpageRCWILSON-WU1LV4.html,100 in / 645.16 cm,27in / 68.58cm,10.4oz / 295g,13in / 33.02cm / 4 pts HL,299.0,64,24mm / 26.5mm / 24.2mm,Carbon Fiber Graphite,Low-Medium,Medium-Full,Medium-Fast,Blue/Purple,Wilson Pro Performance,"16 Mains / 19 CrossesMains skip: 8T, 8HTwo PiecesNo Shared Holes",50-60 pounds,229.0,5.0
Wilson Clash 100 v2,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Clash_100_v2/descpageRCWILSON-WC100V.html,100 in / 645.16 cm,27in / 68.58cm,11oz / 312g,12.59in / 31.98cm / 7 pts HL,313.0,57,24.5mm / 24.5mm / 24.5mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Red,Wilson Pro Performance,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-60 pounds,269.0,5.0
Wilson Clash 100L v2,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Clash_100L_v2/descpageRCWILSON-WC10LV.html,100 in / 645.16 cm,27in / 68.58cm,10.4oz / 295g,12.79in / 32.49cm / 6 pts HL,303.0,55,24.5mm / 24.5mm / 24.5mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Red,Wilson Pro Performance,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-60 pounds,249.0,4.2
Wilson Clash 100S,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Clash_100S/descpageRCWILSON-WC100S.html,100 in / 645.16 cm,27in / 68.58cm,10.9oz / 309g,12.59in / 31.98cm / 7 pts HL,317.0,54,24.5mm / 24.5mm / 24.5mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Black/Gray/Red,Wilson Pro Performance,"18 Mains / 16 CrossesMains skip: 8T,10T,8H,10HOne PieceNo Shared Holes",50-60 pounds,149.0,5.0
Wilson Burn 100LS v5,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Burn_100LS_v5/descpageRCWILSON-BRNLS5.html,100 in / 645.16 cm,27in / 68.58cm,10.5oz / 298g,13.12in / 33.32cm / 3 pts HL,313.0,72,23.5mm / 25mm / 23.5mm,Carbon Fiber Graphite,Low-Medium,Medium-Full,Medium-Fast,Orange,Wilson Pro Performance,"18 Mains / 16 CrossesMains skip: 9T,8H,10HTwo PiecesShared: 7T,8T",50-60 pounds,159.0,5.0
Wilson Burn 100ULS v5,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Burn_100ULS_v5/descpageRCWILSON-BRULS5.html,100 in / 645.16 cm,27in / 68.58cm,9.7oz / 275g,13.37in / 33.96cm / 1 pts HL,301.0,67,23.5mm / 25mm / 23.5mm,Carbon Fiber Graphite,Low-Medium,Medium-Full,Medium-Fast,Orange,Wilson Pro Performance,"18 Mains / 16 CrossesMains skip: 9T,8H,10HTwo PiecesShared: 7T,8T",50-60 pounds,159.0,5.0
Wilson Blade 100L v8,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Blade_100L_v8/descpageRCWILSON-100LB8.html,100 in / 645.16 cm,27in / 68.58cm,10.6oz / 301g,"13.38in / 33.99cm / 1 pts 
HL",314.0,69,"22.5mm / 
22.5mm / 22.5mm",Braided Graphite,Low-Medium,Medium-Full,Medium-Fast,Green,Wilson Pro Performance,"16 Mains / 19 CrossesMains skip: 8T,8HOne PieceNo 
Shared Holes","50-60 
pounds",229.0,4.8
Wilson Blade 98L v6,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Blade_98L_v6/descpageRCWILSON-BLD98L.html,98 in / 632.26 cm,27in / 68.58cm,10.6oz / 303g,13.4in / 34.04cm / 1 pts HL,313.0,68,21mm / 21mm / 21mm,Braided Graphite/Basalt,Low-Medium,Medium-Full,Medium-Fast,Black/Green,Wilson Sublime,"16 Mains / 19 CrossesMains skip: 8T,8HOne PieceNo Shared Holes",50-60 pounds,159.0,5.0
Wilson Ultra 100L v2,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Ultra_100L_v2/descpageRCWILSON-U100LV.html,100 in / 645.16 cm,27in / 68.58cm,10.3oz / 292g,13.18in / 33.48cm / 3 pts HL,302.0,68,23mm / 26.5mm / 22.5mm,Carbon Fiber,Low-Medium,Medium-Full,Medium-Fast,Blue,Wilson Sublime,"16 Mains / 19 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",50-60 pounds,159.0,5.0
Wilson Triad Five,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Triad_Five/descpageRCWILSON-WTRI5.html,103 in / 664.51 cm,27.25in / 69.22cm,10oz / 283g,14.37in / 36.5cm / 6 pts HH,324.0,N/A (very low),26mm / 26mm / 26mm,Graphite,Medium,Medium,Medium,Red,Wilson Synthetic,"16 Mains / 20 CrossesMains skip: 7T,9T,7H,9HOne PieceNo Shared Holes",50-60 pounds,199.0,5.0
Wilson Pro Staff 97L v14,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_97L_v14/descpageRCWILSON-97V14L.html,97 in / 625.81 cm,27in / 68.58cm,10.8oz / 306g,13.12in / 33.32cm / 3 pts HL,313.0,68,23.5mm / 23.5mm / 23.5mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Rust,Wilson Pro Performance,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-60 pounds,259.0,4.0
Wilson Pro Staff Team v14,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_Team_v14/descpageRCWILSON-PSTM14.html,100 in / 645.16 cm,27in / 68.58cm,10.5oz / 298g,13.18in / 33.48cm / 3 pts HL,294.0,69,23.5mm / 23.5mm / 23.5mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Rust,Wilson Synthetic,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HOne PieceNo Shared Holes",50-60 pounds,169.0,4.6
Prince Hydrogen Spark 280g,All Around Racquets,https://www.tennis-warehouse.com/Prince_Hydrogen_Spark_280g/descpageRCPRINCE-PRHSPL.html,100 in / 645.16 cm,27in / 68.58cm,10.4oz / 295g,13.18in / 33.48cm / 3 pts HL,309.0,68,24mm / 26mm / 23mm,Textreme/Twaron/Graphite,Low-Medium,Medium-Full,Medium-Fast,Hydrogen Cosmetic!,Prince ResiPro,"16 Mains / 19 CrossesMains skip: 7T,9T,8HTwo PiecesNo Shared Holes",50-60 pounds,199.0,5.0
Prince ATS Textreme Tour 100 290,All Around Racquets,https://www.tennis-warehouse.com/Prince_ATS_Textreme_Tour_100_290/descpageRCTWABG-ATR290.html,100 in / 645.16 cm,27in / 68.58cm,10.8oz / 306g,13in / 33.02cm / 4 pts HL,318.0,62,22mm / 23mm / 20mm,Textreme/Twaron/Graphite,Low-Medium,Medium-Full,Medium-Fast,White,Prince Resi Pro,"16 Mains / 18 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",48-58 pounds,199.0,4.0
Prince Warrior 100 (285g),All Around Racquets,https://www.tennis-warehouse.com/Prince_Warrior_100_285g/descpageRCPRINCE-PWAR28.html,100 in / 645.16 cm,27in / 68.58cm,10.6oz / 301g,13.18in / 33.48cm / 3 pts HL,313.0,65,24mm / 26mm / 22mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,"Black, Red",Prince Synthetic,"16 Mains / 19 CrossesMains skip: 7T,9T,8HOne PieceNo Shared Holes",50-60 pounds,69.0,4.8
Prince Vortex 310g,All Around Racquets,https://www.tennis-warehouse.com/Prince_Vortex_310g/descpageRCPRINCE-PVRTXH.html,100 in / 645.16 cm,27in / 68.58cm,11.5oz / 326g,12.4in / 31.5cm / 9 pts HL,320.0,63,25mm / 22mm / 26mm,Textreme/Twaron/Graphite,Low-Medium,Medium-Full,Medium-Fast,Black/Teal,Prince ResiTex Pro,"14 Mains / 21 CrossesMains skip: 7T,7HTwo PiecesNo Shared Holes",45-55 pounds,79.0,4.6
Prince Vortex 300g,All Around Racquets,https://www.tennis-warehouse.com/Prince_Vortex_300g/descpageRCPRINCE-PVRTX.html,100 in / 645.16 cm,27in / 68.58cm,11.2oz / 318g,12.79in / 32.49cm / 6 pts HL,321.0,65,25mm / 22mm / 26mm,Textreme/Twaron/Graphite,Low-Medium,Medium-Full,Medium-Fast,Black/Teal,Prince ResiTex Pro,14 Mains / 21 CrossesMains skip: 7T7HTwo PiecesNo Shared Holes,45-55 pounds,79.0,5.0
Prince Warrior 107,All Around Racquets,https://www.tennis-warehouse.com/Prince_Warrior_107/descpageRCPRINCE-PWAR17.html,107 in / 690.32 cm,27in / 68.58cm,10.2oz / 289g,13.5in / 34.29cm / 0 pts EB,313.0,68,28mm / 27mm / 24mm,Graphite,Low-Medium,Compact-Medium,Medium-Fast,White,Prince Synthetic,"16 Mains / 19 CrossesMains skip:7T,9T,7H,9HTwo PiecesNo Shared Holes",50-60 pounds,69.0,4.7
Prince Warrior 100 (300g),All Around Racquets,https://www.tennis-warehouse.com/Prince_Warrior_100_300g/descpageRCPRINCE-PWAR10.html,100 in / 645.16 cm,27in / 68.58cm,11.2oz / 318g,12.79in / 32.49cm / 6 pts HL,311.0,65,24mm / 26mm / 22mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,"Black, Green, Yellow",Prince Synthetic,"16 Mains / 19 CrossesMains skip: 7T,9T,8HOne PieceNo Shared Holes",50-60 pounds,69.0,4.5
Prince Ripstick 100 280g,All Around Racquets,https://www.tennis-warehouse.com/Prince_Ripstick_100_280g/descpageRCTWABG-PRIPSL.html,100 in / 645.16 cm,27in / 68.58cm,10.4oz / 295g,13.7in / 34.8cm / 2 pts HH,319.0,63,27mm / 25.5mm / 22mm,TexTreme/Twaron/Graphite,Low-Medium,Medium-Full,Medium-Fast,Black/White/Red/Yellow,Prince ResiTex Pro,"16 Mains / 18 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",50-60 pounds,199.0,5.0
Prince Ripstick 100 300g,All Around Racquets,https://www.tennis-warehouse.com/Prince_Ripstick_100_300g/descpageRCLEADER-PRIPS.html,100 in / 645.16 cm,27in / 68.58cm,11.2oz / 318g,13in / 33.02cm / 4 pts HL,325.0,64,27mm / 25.5mm / 22mm,TexTreme/Twaron/Graphite,Low-Medium,Medium-Full,Medium-Fast,Black/White/Red/Yellow,Prince ResiTex Pro,"16 Mains / 18 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",50-60 pounds,199.0,5.0
